# {"t_start": 1573286986.677075, "env_id": "MiniGrid-Empty-8x8-v0"} 
r,l,t
0,64,3.516295
0,64,3.61453
0,64,3.787789
1.0,62,3.875575
0,64,3.988532
0,64,4.087559
0,64,4.252554
0,64,4.366114
0,64,4.482069
0,64,4.564643
0,64,4.674393
0,64,4.761045
0,64,4.873203
0,64,4.953806
1.0,18,5.001452
1.0,47,5.062292
1.0,42,5.115652
0,64,5.228044
0,64,5.321412
0,64,5.428205
0,64,5.512131
0,64,5.628876
0,64,5.707448
0,64,5.81488
0,64,5.896905
0,64,6.007494
1.0,56,6.076466
1.0,26,6.115847
1.0,52,6.206742
0,64,6.289904
0,64,6.397896
1.0,24,6.429207
0,64,6.59329
1.0,44,6.670064
0,64,6.768174
0,64,6.897439
0,64,6.992919
0,64,7.106571
1.0,48,7.170427
0,64,7.283461
0,64,7.37736
0,64,7.494013
0,64,7.591753
0,64,7.720361
0,64,7.81389
0,64,7.930923
1.0,23,7.961657
1.0,14,7.977908
0,64,8.091485
0,64,8.187412
0,64,8.301452
0,64,8.400073
0,64,8.519787
1.0,30,8.558396
0,64,8.655532
1.0,45,8.751312
0,64,8.834194
0,64,8.958382
1.0,53,9.05257
0,64,9.182231
0,64,9.286624
1.0,31,9.325043
0,64,9.441309
0,64,9.540477
0,64,9.650197
0,64,9.749912
1.0,20,9.77821
0,64,9.904822
1.0,26,9.942288
0,64,10.060147
0,64,10.14835
0,64,10.275149
1.0,36,10.32115
0,64,10.419672
1.0,41,10.511919
0,64,10.605426
0,64,10.725709
0,64,10.809236
0,64,10.932528
1.0,50,11.007485
0,64,11.11597
0,64,11.210437
0,64,11.329142
0,64,11.417127
1.0,56,11.527098
0,64,11.613221
0,64,11.727472
0,64,11.824519
0,64,11.938178
1.0,43,12.012166
1.0,26,12.050144
0,64,12.21461
1.0,28,12.257472
1.0,47,12.328476
0,64,12.456101
1.0,42,12.511022
0,64,12.618321
0,64,12.69994
1.0,34,12.742033
1.0,43,12.820574
0,64,12.901157
1.0,24,12.931628
0,64,13.045514
0,64,13.125427
1.0,19,13.149559
1.0,53,13.238149
0,64,13.317739
1.0,33,13.388341
0,64,13.469852
0,64,13.594798
1.0,25,13.62489
1.0,64,13.707924
0,64,13.8152
0,64,13.893127
0,64,14.004862
0,64,14.083979
1.0,50,14.171617
0,64,14.251024
0,64,14.357225
0,64,14.475019
1.0,20,14.510241
1.0,61,14.629004
0,64,14.725545
0,64,14.840882
0,64,14.934741
1.0,49,15.039574
0,64,15.12675
0,64,15.245546
0,64,15.34044
0,64,15.446034
0,64,15.545249
0,64,15.655906
0,64,15.743608
1.0,20,15.77177
1.0,44,15.862103
0,64,15.942592
1.0,59,16.050946
1.0,46,16.116327
0,64,16.227024
1.0,52,16.297762
1.0,37,16.349586
1.0,24,16.384238
0,64,16.49025
1.0,26,16.529286
0,64,16.650162
0,64,16.732616
0,64,16.838181
0,64,16.928096
1.0,16,16.949177
0,64,17.062849
1.0,37,17.112107
1.0,14,17.131642
1.0,40,17.188877
0,64,17.292415
0,64,17.376477
1.0,36,17.448692
0,64,17.537091
1.0,41,17.615501
1.0,58,17.69589
1.0,39,17.750514
1.0,28,17.811408
1.0,34,17.852074
0,64,17.936922
0,64,18.062804
0,64,18.138262
1.0,47,18.223186
0,64,18.311761
1.0,28,18.347023
0,64,18.453016
1.0,26,18.494488
0,64,18.612656
0,64,18.690361
1.0,17,18.711817
1.0,13,18.7308
1.0,29,18.793593
1.0,28,18.833511
1.0,21,18.862053
1.0,35,18.904112
1.0,60,19.006574
0,64,19.098846
0,64,19.205207
0,64,19.287862
1.0,59,19.397138
1.0,13,19.412872
1.0,32,19.453509
0,64,19.572134
1.0,55,19.646855
1.0,61,19.73981
1.0,48,19.840389
0,64,19.974889
1.0,22,20.007583
1.0,36,20.105208
1.0,27,20.143847
0,64,20.234512
0,64,20.354996
1.0,28,20.399167
1.0,40,20.479633
1.0,12,20.493927
0,64,20.572223
1.0,15,20.591397
1.0,61,20.687799
1.0,26,20.717031
1.0,23,20.743568
0,64,20.841755
1.0,24,20.871451
1.0,14,20.887318
1.0,18,20.908183
1.0,30,20.943345
1.0,28,20.974253
1.0,22,21.024985
1.0,20,21.050298
0,64,21.131673
1.0,53,21.219543
1.0,36,21.263511
1.0,23,21.290059
0,64,21.388442
0,64,21.462989
1.0,20,21.485137
1.0,30,21.545051
1.0,33,21.58714
1.0,36,21.630827
0,64,21.730763
1.0,26,21.76024
1.0,18,21.780274
0,64,21.858138
0,64,21.960985
1.0,23,21.985378
1.0,21,22.010698
0,64,22.109902
1.0,42,22.155543
1.0,59,22.250388
0,64,22.32363
1.0,42,22.371889
1.0,21,22.422366
1.0,53,22.486524
1.0,17,22.505055
1.0,14,22.521285
1.0,37,22.593641
1.0,22,22.615755
1.0,38,22.65948
0,64,22.737361
1.0,61,22.832238
1.0,24,22.860013
1.0,48,22.939598
1.0,62,23.0156
1.0,29,23.055344
1.0,48,23.133903
1.0,17,23.154429
1.0,46,23.206316
1.0,35,23.245569
1.0,25,23.300707
0,64,23.374258
0,64,23.47966
1.0,14,23.496125
0,64,23.569549
1.0,17,23.590118
0,64,23.693039
0,64,23.767693
1.0,24,23.794539
0,64,23.891963
1.0,22,23.917605
0,64,24.018602
1.0,36,24.061029
0,64,24.13855
0,64,24.245291
1.0,36,24.286814
1.0,31,24.322647
1.0,60,24.416958
1.0,10,24.427648
1.0,28,24.459664
1.0,28,24.491747
1.0,19,24.537681
1.0,40,24.582965
0,64,24.65477
1.0,50,24.740246
1.0,14,24.755864
1.0,27,24.785818
1.0,47,24.837063
1.0,43,24.912468
0,64,24.985085
1.0,23,25.036884
0,64,25.107632
1.0,64,25.211606
0,64,25.283812
1.0,41,25.331022
1.0,51,25.419542
1.0,13,25.434113
1.0,62,25.506913
1.0,21,25.530169
0,64,25.630788
1.0,41,25.677176
1.0,31,25.737405
1.0,53,25.793872
1.0,32,25.827633
0,64,25.92911
1.0,43,25.976525
1.0,31,26.011554
1.0,53,26.098477
0,64,26.170645
1.0,25,26.197222
1.0,21,26.246016
1.0,55,26.306615
1.0,19,26.326564
1.0,43,26.373776
1.0,57,26.470266
1.0,29,26.501851
1.0,13,26.51565
1.0,28,26.546162
1.0,23,26.597361
1.0,25,26.623299
0,64,26.696172
1.0,14,26.70996
0,64,26.809123
1.0,36,26.848935
1.0,58,26.939927
1.0,60,27.010573
1.0,57,27.102191
1.0,16,27.122401
1.0,19,27.144408
1.0,23,27.17027
0,64,27.264389
1.0,44,27.3111
1.0,32,27.346088
1.0,15,27.362202
0,64,27.45449
1.0,20,27.479172
1.0,14,27.495526
1.0,29,27.528761
1.0,17,27.547757
1.0,34,27.614568
1.0,14,27.635596
1.0,14,27.651345
0,64,27.723854
1.0,53,27.807417
1.0,37,27.850071
1.0,17,27.868253
1.0,38,27.935299
1.0,29,27.968491
1.0,36,28.009763
1.0,22,28.035179
1.0,35,28.074644
1.0,30,28.13453
1.0,15,28.151786
1.0,39,28.19318
1.0,51,28.274226
1.0,24,28.300753
0,64,28.371939
1.0,53,28.459016
1.0,15,28.47622
1.0,39,28.516828
1.0,22,28.541357
1.0,26,28.571101
1.0,20,28.619251
0,64,28.695111
1.0,24,28.721489
1.0,55,28.812164
1.0,29,28.84524
1.0,50,28.90029
1.0,21,28.923296
1.0,35,28.989724
0,64,29.061359
1.0,39,29.129569
1.0,37,29.170015
1.0,20,29.18988
0,64,29.263161
1.0,17,29.307969
1.0,36,29.354301
1.0,17,29.373922
1.0,19,29.393224
1.0,15,29.411047
0,64,29.510986
0,64,29.58609
1.0,35,29.65132
1.0,17,29.667782
1.0,22,29.692414
1.0,16,29.710119
1.0,23,29.734646
0,64,29.832481
1.0,40,29.882361
1.0,32,29.920861
1.0,19,29.9425
0,64,30.040707
1.0,19,30.060205
1.0,12,30.076501
1.0,11,30.089655
1.0,30,30.120867
1.0,29,30.179423
1.0,25,30.205695
1.0,40,30.250097
1.0,17,30.269129
1.0,38,30.33695
1.0,55,30.406541
1.0,30,30.442413
1.0,19,30.462899
1.0,21,30.512233
1.0,28,30.54836
1.0,40,30.594614
1.0,36,30.633838
1.0,13,30.673123
0,64,30.746979
1.0,23,30.773303
1.0,26,30.802388
1.0,17,30.846647
1.0,32,30.881298
0,64,30.952186
1.0,32,31.015245
0,64,31.090635
1.0,25,31.118876
1.0,12,31.131746
1.0,46,31.208745
1.0,17,31.227411
1.0,60,31.293339
0,64,31.411605
0,64,31.482662
1.0,19,31.504174
1.0,52,31.594078
1.0,18,31.613404
1.0,20,31.63583
1.0,12,31.649251
1.0,18,31.670072
1.0,15,31.684922
1.0,28,31.739799
1.0,47,31.789657
1.0,25,31.817947
1.0,28,31.847529
1.0,14,31.888317
1.0,22,31.912678
1.0,42,31.961093
1.0,36,32.00078
1.0,35,32.067149
1.0,15,32.085151
1.0,60,32.150422
1.0,12,32.162569
1.0,25,32.214466
1.0,19,32.236803
1.0,24,32.267183
1.0,11,32.279365
1.0,32,32.313138
0,64,32.409617
1.0,15,32.426567
1.0,16,32.444601
1.0,64,32.516698
1.0,51,32.598591
1.0,30,32.633252
0,64,32.730705
1.0,10,32.742999
1.0,32,32.780683
1.0,31,32.81531
1.0,53,32.902252
1.0,18,32.921172
1.0,33,32.957066
1.0,23,32.983513
1.0,18,33.003069
1.0,33,33.065637
1.0,52,33.127421
0,64,33.200413
1.0,53,33.28827
1.0,28,33.319286
1.0,47,33.370314
1.0,18,33.415814
1.0,20,33.436346
1.0,33,33.471979
1.0,56,33.533966
1.0,18,33.578122
1.0,42,33.623904
1.0,18,33.640587
1.0,37,33.681774
1.0,32,33.742461
1.0,21,33.764701
1.0,13,33.782976
0,64,33.860455
0,64,33.962033
1.0,34,33.997623
