approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
4.0001237e-06,0.0,55.0,0.25,-2.007584571838379,911,1,1.386289,-0.00071746856,128,0.2807136209885357,256,0.03036153
3.9341767e-06,0.0,59.095238095238095,0.16666666666666666,-16.854272842407227,1345,10,1.386138,-0.00075219735,1280,2.1627476869907696,2560,0.0010684687
4.023492e-06,0.0,57.98850574712644,0.22988505747126436,-7.643070220947266,1110,20,1.3858806,-0.00090812996,2560,4.265548832001514,5120,0.0052068345
6.437929e-06,0.0,57.39,0.26,0.05261504650115967,1218,30,1.3856654,-0.0012619596,3840,6.405279831000371,7680,0.008998381
1.1504486e-05,0.0,57.39,0.29,-1.3783113956451416,1202,40,1.383608,-0.0006003522,5120,8.516229696993832,10240,0.0024290464
2.9980161e-05,0.0,55.35,0.38,-15.447124481201172,1395,50,1.3683199,-0.0022079048,6400,10.537239749988657,12800,0.012016035
3.2211727e-05,0.0,54.79,0.4,0.282198429107666,1322,60,1.3628902,-0.0013776654,7680,12.60140417299408,15360,0.013307215
4.8991496e-05,0.0,53.54,0.44,0.2980937957763672,1343,70,1.3152786,-0.0021645948,8960,14.586852285996429,17920,0.017120322
0.00015350519,0.0,48.74,0.52,0.4094921350479126,941,80,1.2909045,-0.0024530834,10240,16.643732279990218,20480,0.020011367
0.00013720742,0.0,42.56,0.65,0.45194458961486816,1460,90,1.224886,-0.0028369627,11520,18.48686487499799,23040,0.020277597
5.6736535e-05,0.0,40.23,0.74,0.1270199418067932,1456,100,1.163064,-0.002138089,12800,20.239144574996317,25600,0.021733204
0.000110086476,0.0,42.87,0.73,0.15742528438568115,1477,110,1.0967187,-0.0017959699,14080,21.977094178000698,28160,0.02157765
3.3331577e-05,0.0,38.97,0.81,0.45380955934524536,1462,120,0.9120004,-0.0010407304,15360,23.682252824000898,30720,0.015090406
1.0543827e-05,0.0,35.34,0.84,0.2987574338912964,1475,130,1.0107049,-0.0004005095,16640,25.37877214299806,33280,0.021969765
3.2603137e-05,0.0,35.31,0.84,0.4908350110054016,1441,140,1.0350664,-0.0010048969,17920,27.09234169399133,35840,0.018080601
8.182795e-06,0.0,32.84,0.89,0.5511890351772308,1536,150,0.909506,-0.00087711005,19200,28.806541865997133,38400,0.012024363
1.4124834e-05,0.0,32.9,0.91,0.4049217700958252,1472,160,0.99336684,-0.0008017389,20480,30.502385208994383,40960,0.018613108
6.1387946e-06,0.0,35.66,0.86,0.3769521117210388,1552,170,0.88260096,-0.00035502668,21760,32.19004572099948,43520,0.017443556
9.0253036e-07,0.0,34.51,0.92,0.46228325366973877,1467,180,1.0181427,-0.00023432111,23040,33.86467707400152,46080,0.017378878
2.465504e-07,0.0,34.57,0.86,0.3835349678993225,1437,190,0.90157086,-0.00012958003,24320,35.578551396989496,48640,0.022315893
3.5424403e-09,0.0,33.16,0.89,0.5176609456539154,1447,195,0.9877584,-1.08842505e-05,24960,36.5140470329934,49920,0.018660653
